!#Experiment  Id= 2.3:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Isorapid227HM
!time	t1	t2	t3	t4
341	52.211024	65.89994	73.78087	67.915189
341.5	52.16257	65.780092	73.68376	67.824281
342	52.124706	65.707734	73.544359	67.727549
342.5	52.054837	65.634702	73.441878	67.627233
343	52.009984	65.612971	73.32418	67.478098
343.5	51.954986	65.54397	73.208048	67.3518
344	51.908102	65.487514	73.080951	67.247221
344.5	51.817033	65.349282	72.979586	67.127187
345	51.776006	65.21911	72.839285	66.999984
345.5	51.695976	65.135538	72.732325	66.914209
346	51.593172	65.058462	72.628944	66.817907
346.5	51.512232	64.932986	72.50766	66.721378
347	51.45902	64.82812	72.403158	66.625967
347.5	51.417983	64.748124	72.272474	66.519356
348	51.351465	64.683588	72.169761	66.443875
348.5	51.311778	64.59597	72.046011	66.362345
349	51.253825	64.500058	71.922484	66.303436
349.5	51.226764	64.414901	71.825586	66.228175
350	51.169935	64.35372	71.714812	66.160305
350.5	51.144	64.293659	71.596653	66.103185
351	51.105436	64.232701	71.493485	66.025008
351.5	51.071832	64.153363	71.376442	65.960495
352	51.003043	64.080748	71.269916	65.888812
352.5	50.94598	63.981683	71.153765	65.80055
353	50.850795	63.931253	71.047236	65.701533
353.5	50.772523	63.887995	70.93153	65.61954
354	50.701239	63.821426	70.821417	65.517382
354.5	50.633111	63.743199	70.724508	65.41679
355	50.578064	63.649728	70.61305	65.338376
355.5	50.555053	63.565445	70.498457	65.271386
356	50.500906	63.463674	70.398186	65.180645
356.5	50.465935	63.383421	70.283142	65.110516
357	50.400503	63.255416	70.181974	65.028958
357.5	50.37275	63.205871	70.088638	64.981232
358	50.336423	63.127853	69.979633	64.922078
358.5	50.285653	63.069563	69.867492	64.869198
359	50.216377	62.983694	69.751321	64.814748
359.5	50.189975	62.885716	69.656412	64.750437
360	50.149806	62.819573	69.546057	64.680971
360.5	50.100609	62.737734	69.449579	64.59918
361	50.040353	62.625621	69.357352	64.530607
361.5	49.976934	62.540188	69.244753	64.456207
362	49.903806	62.465068	69.14357	64.391666
362.5	49.878753	62.422237	69.04507	64.320176
363	49.798623	62.324913	68.940749	64.258546
363.5	49.729551	62.212335	68.83262	64.178088
364	49.685306	62.06387	68.731429	64.079027
364.5	49.627741	61.945002	68.639191	63.991393
365	49.586655	61.826129	68.525683	63.886722
365.5	49.541277	61.735064	68.415755	63.801997
366	49.49635	61.648258	68.335826	63.719511
366.5	49.46587	61.61035	68.234626	63.636575
367	49.429295	61.570871	68.127379	63.538393
367.5	49.415973	61.485854	68.043192	63.459487
368	49.390911	61.403302	67.939523	63.369819
368.5	49.367655	61.33017	67.841002	63.323639
369	49.316174	61.231909	67.742032	63.240468
369.5	49.317303	61.165279	67.664556	63.178368
370	49.282756	61.069928	67.561999	63.110438
370.5	49.235111	60.988037	67.451826	63.031745
371	49.205529	60.936881	67.376137	62.971659
371.5	49.163979	60.86755	67.265064	62.905519
372	49.15201	60.771516	67.167202	62.851035
372.5	49.113168	60.683556	67.080534	62.802605
373	49.099844	60.589534	66.992522	62.741842
373.5	49.068679	60.503138	66.878528	62.683992
374	49.065066	60.429756	66.771922	62.604839
374.5	49.002056	60.366022	66.701149	62.529048
375	48.978342	60.259869	66.61828	62.430158
375.5	48.933622	60.209371	66.522195	62.349653
376	48.89229	60.158424	66.412445	62.280134
376.5	48.860669	60.104109	66.336962	62.183477
377	48.817527	60.051589	66.240647	62.125392
377.5	48.770544	60.046426	66.167624	62.059232
378	48.713394	60.020615	66.072649	61.984099
378.5	48.660082	59.973704	65.974087	61.919057
379	48.618742	59.895143	65.900164	61.869489
379.5	48.570171	59.836332	65.790397	61.798388
380	48.520468	59.7865	65.704598	61.726837
380.5	48.477316	59.722973	65.629101	61.682649
381	48.44546	59.664832	65.519999	61.644293
381.5	48.369317	59.598383	65.440242	61.590234
382	48.333843	59.511952	65.358243	61.57498
382.5	48.278257	59.454704	65.274674	61.503423
383	48.230352	59.368267	65.181021	61.455418
383.5	48.190129	59.271275	65.090279	61.38296
384	48.149904	59.153622	65.002894	61.298835
384.5	48.12143	59.066949	64.915956	61.207752
385	48.067192	58.966576	64.825207	61.118686
385.5	48.03284	58.871812	64.743194	61.020641
386	47.975886	58.77435	64.655354	60.941216
386.5	47.922998	58.702934	64.576698	60.869642
387	47.894519	58.650382	64.498265	60.797392
387.5	47.856547	58.570428	64.404368	60.728057
388	47.802976	58.501926	64.32369	60.661413
388.5	47.757089	58.451165	64.236959	60.602621
389	47.735614	58.410286	64.140364	60.527447
389.5	47.677292	58.370305	64.054525	60.445986
390	47.648808	58.301797	63.974063	60.33849
390.5	47.604724	58.24901	63.900771	60.263981
391	47.574882	58.192853	63.821874	60.194182
391.5	47.538709	58.118947	63.734233	60.097673
392	47.490327	58.063909	63.630899	60.020911
392.5	47.449856	57.976295	63.552892	59.94123
393	47.398756	57.90418	63.484522	59.864239
393.5	47.34562	57.820828	63.38118	59.771532
394	47.320069	57.760615	63.313703	59.732698
394.5	47.293612	57.691637	63.255864	59.659965
395	47.266251	57.634791	63.154532	59.584986
395.5	47.245447	57.574572	63.063734	59.494738
396	47.201124	57.510308	62.989748	59.445122
396.5	47.179641	57.470309	62.924504	59.351725
397	47.135316	57.439749	62.826748	59.298515
397.5	47.088728	57.394805	62.745357	59.21297
398	47.068826	57.348738	62.665533	59.156837
398.5	47.018617	57.293455	62.59961	59.110807
399	46.991476	57.234575	62.515746	59.06792
399.5	46.964335	57.153219	62.433898	59.044118
400	46.953252	57.082423	62.351375	58.985511
400.5	46.93855	57.031628	62.267055	58.967771
401	46.880419	56.9869	62.195516	58.915899
401.5	46.842192	56.950488	62.124872	58.876376
402	46.811881	56.889575	62.066561	58.819336
402.5	46.784736	56.830234	61.966533	58.781384
403	46.750804	56.789323	61.875921	58.704354
403.5	46.701488	56.729304	61.798316	58.646412
404	46.673662	56.676028	61.746728	58.591612
404.5	46.65398	56.626122	61.653642	58.530971
405	46.624569	56.551036	61.598461	58.457077
405.5	46.602397	56.457511	61.513221	58.404968
406	46.577511	56.387365	61.421921	58.348365
406.5	46.536786	56.317216	61.352828	58.315122
407	46.520496	56.271123	61.279245	58.248858
407.5	46.498096	56.214012	61.205661	58.243467
408	46.484294	56.151951	61.138805	58.181693
408.5	46.444019	56.07145	61.058037	58.137215
409	46.4094	55.965534	60.991626	58.087345
409.5	46.359392	55.922581	60.921399	58.024219
410	46.341063	55.839821	60.829855	57.979513
410.5	46.327486	55.78562	60.77174	57.909644
411	46.29852	55.682837	60.699936	57.850107
411.5	46.289016	55.594668	60.643165	57.807195
412	46.251224	55.535961	60.534555	57.728333
412.5	46.235836	55.475003	60.468804	57.655085
413	46.197137	55.414269	60.398562	57.586778
413.5	46.156174	55.356456	60.33348	57.514649
414	46.11272	55.344534	60.260542	57.438922
414.5	46.08873	55.30899	60.196803	57.363866
415	46.05478	55.244425	60.11982	57.289482
415.5	46.000005	55.20753	60.042835	57.231051
416	45.938665	55.147686	59.963154	57.184755
416.5	45.901542	55.09504	59.891102	57.114634
417	45.866002	55.004368	59.829374	57.074404
417.5	45.824576	54.957118	59.746543	56.997537
418	45.786092	54.909417	59.68728	56.939097
418.5	45.771603	54.843263	59.622403	56.862
419	45.73606	54.757754	59.549219	56.825361
419.5	45.690329	54.736376	59.484787	56.783776
420	45.639841	54.694745	59.405536	56.734322
420.5	45.600445	54.64006	59.353	56.694084
